APPIC Number,Site / Department,url_number
1430,"Rutgers Biomedical and Health Sciences/Rutgers University Behavioral Health Care,  C-1420",723
1799,"Rutgers Health Services - CAPS/Counseling, ADAP & Psychiatric Services",1367
1188,Saint Elizabeths Hospital/Psychology ,202
1162,Saint John's Child and Family Development Center/Psychology Training Program,552
2332,Saint Peter's University Hospital/Dorothy B. Hersh Regional Child Protection Center,1521
2223,Salina Regional Health Center/Behavioral Health Department,872
1151,San Bernardino County Department of Behavioral Health/Psychology Internship Program,457
2143,"San Jose State University, Counseling and Psychological Services /Counseling and Psychological Services",565
1550,San Juan Internship Program in Clinical Psychology Consortium/Carlos Albizu University,103
2355,San Mateo Medical Center/Medical Psychiatry Services,1640
1159,Santa Ana College/Psychological Services,198
2133,Santa Clara University /Counseling and Psychological Services,365
1659,Sarah A. Reed Children's Center/Psychology Department,43
1821,Saskatoon Health Region Clinical Psychology Residency/Department of Clinical Health Psychology,634
1526,School of Professional Psychology/Pacific U./Pacific Psychology Clinic,842
2195,Scott & White Healthcare/Department of Psychiatry and Behavioral Sciences,294
1757,"Shared Vision Psychological Services, Inc./Clinical Training Program",441
1153,Sharp HealthCare/Doctoral Internship in Clinical Psychology,170
2214,Sheridan VA Health Care Systen/Psychology,777
2229,Shorehaven Behavioral Health and Sebastian Family Psychology Practice Internship Consortium/Psychology Internship,335
2206,Sioux Falls VA Health Care System/Mental Health Service Line,286
1774,South Arkansas Regional Health Center/Psychology Department,481
1941,South Campus Therapeutic Day School/Clinical,810
1218,South Florida Evaluation and Treatment Center/Psychology Services,520
1336,"South Shore Mental Health Center, Inc./Doctoral Internship Program",544
1587,South Texas Veterans Health Care System/Audie L. Murphy Memorial Veterans Hospital Division,536
1789,Southeast Human Service Center/Psychology ,8
1318,Southeast Louisiana Veterans Health Care System/Mental Health Service (116),304
2080,Southeastern Idaho Psychology Internship Consortium/---,551
1110,"Southern Arizona Psychology Internship Center (SAPIC)/La Frontera Center, Inc.",485
1112,Southern Arizona VA Health Care System/Psychology Internship Program,446
2343,Southern California Department of Corrections and Rehabilitation Consortium (SCDCRC)/Psychology Training,1601
2250,Southern California Internship Consortium/American School of Professional Psychology at Argosy University | Southern California,102
1253,Southern Illinois University/Counseling and Psychological Services,350
1315,Southern Louisiana Internship Consortium/LSU Student Health Center/Eastern Louisiana Mental Health System,464
2154,Southern Utah University/Counseling & Psychological Services,370
1296,"Southlake Community Mental Health Center, Inc  DBA Regional Mental Health Center/Regional Mental Health Center",591
2035,Southwest Behavioral & Health Services/Training Institute,642
2243,Southwest Louisiana Psychology Consortium/-,229
2231,Southwest Virginia Psychology Doctoral Internship Consortium/Stone Mountain Health Services,288
1349,Spring Grove Hospital Center/Department of Psychology,540
1354,Springfield Hospital Center/Department of Psychological Services,151
1846,"St. Joseph's Healthcare, Hamilton/Psychology ",265
1400,"St. Louis Psychology Internship Consortium/c/o Department of Psychology, 325 Stadler Hall",621
1479,St. Luke's Roosevelt Hospital Center/Psychology Division of Dept. of Psychiatry,611
1974,"St.Vincent Neuroscience Institute, St.Vincent Indianapolis Hospital/Department of Neuropsychology",875
1166,Stanford University/Counseling and Psychological Services,826
2034,State Operated Forensic Services/St. Peter Campus,18
1663,State University of New York at Albany/University Counseling Center,702
1454,State University of New York at Buffalo/Counseling  Services,630
1935,State University of New York at Oneonta (SUNY Oneonta)/Counseling Center,865
2237,Staten Island University Hospital/Rehabilitation Medicine,1677
1492,Stony Brook University of New York/Counseling and Psychological Services,27
1332,"Suffolk University/Counseling, Health, & Wellness",486
1122,Sullivan Center for Children/The Sullivan Center for Children,651
2186,Summit Doctoral Psychology Internship Program/Summit Doctoral Psychology Internship Program,50
1495,SUNY Upstate Medical University/Psychiatry and Behavioral Science,761
1747,Superior Court of the District of Columbia/Child Guidance Clinic,564
2101,Talbert House/Psychology Internship Program,595
2019,Tarzana Treatment Centers/Psychology Training Program,494
1907,Temple University/Tuttleman Counseling Services,203
1556,Tennessee Internship Consortium in Psychology/TIC/Little Tenn. Valley Ed. Cooperative,451
1760,Terry Children's Center- Delaware Division of Prevention and Behavioral Health Services/Psychology Department ,598
1339,Tewksbury Hospital/Medical Services,578
1569,Texas A&M University/Student Counseling Service,314
2110,Texas Child Study Center/Dell Children's Medical Center/University of Texas at Austin,346
2198,Texas Juvenile Justice Department /Mart Residential Treatment Center & Giddings State School,1509
1590,Texas State University /Counseling Center,569
1586,Texas Tech University/Student Counseling Center,594
1574,Texas Woman's University/Counseling Center,385
2135,The  Emily Program/The Emily Program,647
2280,"The Bella Vita, A Beautiful Life Psychology Group/The Bella Vita, A Beautiful Life Psychology Group-The Bella Speranza",1528
1910,The Catholic University of America/Counseling Center,171
2109,The Chicago School Community Internship Consortium/Applied Professional Practice,303
2372,The Chicago School of Professional Psychology Counseling Center/The Chicago School of Professional Psychology Counseling Center at West Los Angeles,1598
1103,The Children's Assessment Center/Therapy and Psychological Services,179
1596,The Children's Center/Psychology Internship Training Program,189
1538,The Children's Hospital of Philadelphia/Department of Child and Adolescent Psychiatry and Behavioral Sciences,705
2241,The Clinical Psychology Internship Program at the University of Vermont/Dept of Psychology & Division of Child Psychiatry,889
2020,"The Community Mental Health Clinic, Inc. (CMHC)/Carlos Albizu University",447
1189,The George Washington University/University Counseling Center,1462
2102,The Guidance Center/,585
1128,The Guidance Center/Training and Quality Improvement,844
1164,The Help Group/Training Department,169
1854,The Hincks-Dellcrest Centre/Psychology,378
2062,The Lake Michigan Internship Consortium/Department of Training,715
1711,"The May Institute, Inc./Doctoral Internship Program in Clinical Psychology",295
1817,The Ottawa Hospital/Psychology Department,127
1839,The Royal Ottawa Health Care Group/Psychology,231
2022,The School at Columbia University/Child Study Team,178
1266,The University of Chicago Medicine/Department of Psychiatry & Behavioral Neuroscience,850
1519,The University of Oklahoma Health Sciences Center/Department of Psychiatry and Behavioral Sciences,612
1557,The University of Tennessee-Knoxville/Student Counseling Center,305
1568,The University of Texas at Austin/Counseling and Mental Health Center,766
1597,The University of Utah Neuropsychiatric Institute/Psychology Training,769
1181,"The Village for Families & Children, Inc./Enhanced Care Clinic",421
2045,The Watershed Addiction Treatment Program/Psychology Training,674
2228,The Wright Institute Integrated Health Psychology Training Program/Integrated Health Psychology Training Program,1389
1863,Toronto Area Internship Consortium/Toronto Area Internship Consortium,1439
1546,Torrance State Hospital/Psychology ,454
1355,Towson University/Counseling Center,438
2029,Travis County Juvenile Probation Department /Travis County Psychology Internship Program,252
1435,Trenton Psychiatric Hospital/Psychology Department,444
1424,Trinitas Regional Medical Center/Department of Behavioral Health and Psychiatry,683
2252,"Trinity Services, Inc. /Trinity Services Behavioral Health Department",257
1242,Tripler Army Medical Center/Department of Behavioral Health,537
2299,Truman Medical Centers/Behavioral Health,1452
1317,Tulane University School of Medicine (formerly Health Sciences Center)/Department of Psychiatry and Behavioral Sciences ,330
2171,Tuscaloosa VA Medical Center       /Psychology Service,807
1398,U. S. Medical Center for Federal Prisoners/Psychology Department,856
1101,UAB-BVAMC Clinical Psychology Internship Consortium/Department of Psychiatry,737
1411,UNC-Charlotte/Counseling Center,637
1432,"University Behavioral Health Care- Rutgers, The State University of New Jersey/Rutgers University Behavioral Health Care",442
2321,University Healthcare/Behavioral Medicine and Psychiatry,1748
1341,University of  Massachusetts Medical School/Worcester Recovery Center and Hospital (formerly Worcester State Hospital)/Psychology,234
1501,University of Akron/Counseling and Testing Center,255
1111,University of Arizona College of Medicine/Department of Psychiatry,24
1106,University of Arkansas for Medical Sciences/Department of Psychiatry,759
1135,University of California - Los Angeles/Counseling and Psychological Services,104
1134,University of California - Los Angeles (UCLA)/Semel Institute for Neuroscience and Human Behavior,854
1115,"University of California, Berkeley/Counseling and Psychological Services",368
1117,"University of California, Davis/Student Health and Counseling Services ",677
1771,"University of California, Davis Children's Hospital/CAARE Diagnostic &Treatment Center, Department of Pediatrics",165
1123,"University of California, Irvine/Counseling Center",516
1726,"University of California, Riverside/Counseling and Psychological Services",215
1155,"University of California, San Francisco/Department of Psychiatry",373
1160,"University of California, Santa Barbara/Counseling and Psychological Services",181
1161,"University of California, Santa Cruz/Counseling and Psychological Services",115
2037,University of Central Florida (UCF)/Counseling and Psychological Services (CAPS),729
1682,University of Colorado at Boulder/Counseling and Psychiatric Services / Wardenburg Health Center,199
1175,University of Colorado School of Medicine (previously UCDHSC)/Department of  Family Medicine,396
2178,University of Connecticut/Counseling and Mental Health Services,9
1196,University of Delaware/Center for Counseling and Student Development,333
1176,"University of Denver, Graduate School of Professional Psychology/Internship Consortium",862
1206,University of Florida/Counseling and Wellness Center,563
1205,University of Florida Health Science Center/Department of Clinical & Health Psychology,363
1243,University of Hawaii at Manoa/Counseling & Student Development Center,93
1582,University of Houston/Counseling and Psychological Services,696
2188,University of Houston- Clear Lake; Counseling Services/Counseling Services,824
1790,University of Idaho/Counseling & Testing Center,250
1286,University of Illinois @ Urbana-Champaign/Counseling Center,302
1267,University of Illinois at Chicago/Counseling Center (M/C 333),327
1265,University of Illinois at Chicago/Psychiatry Department,748
1247,University of Iowa/University Counseling Service,207
1303,University of Kansas/Counseling and Psychological Services,375
1954,University of Kansas Medical Center/Department of Psychiatry and Behavioral Sciences,825
2227,University of Kentucky /Counseling Center:Consultation and Psychological Services,389
1314,University of Louisville School of Medicine/Department of Pediatrics,797
1356,University of Maine/Counseling Center,699
1810,University of Manitoba/Student Counselling Centre,381
1809,University of Manitoba Clinical Psychology Residency/Clinical Health Psychology ,177
1350,University of Maryland/Counseling Center,571
2087,"University of Maryland, Baltimore County (UMBC)/Counseling Center",838
1320,University of Massachusetts /Center for Counseling and Psychological Health,701
1559,University of Memphis/Student Health and Counseling Services,28
1201,University of Miami/Counseling Center,681
1219,University of Miami/Jackson Memorial Hospital/Department of Psychology,478
1360,University of Michigan/Counseling and Psychological Services,260
1650,University of Michigan/Mary A. Rackham Institute (formerly the Institute for Human Adjustment),816
1382,University of Minnesota/Student Counseling Services,818
1381,University of Minnesota Medical School/Department of Pediatrics,135
1403,"University of Mississippi Medical Center / VA Medical Center, Jackson/Psychiatry and Human Behavior",47
1389,University of Missouri/Counseling Center,90
1391,University of Missouri-Kansas City/Counseling Services,814
2287,University of Nebraska-Lincoln/Counseling and Psychological Services,932
2293,University of Nevada Las Vegas/Student Counseling and Psychological Services,1473
1419,University of New Hampshire/University of New Hampshire Counseling Center,641
1436,University of New Mexico Health Sciences Center/Division of Child & Adolescent Psychiatry,220
2063,University of North Carolina at Chapel Hill/Counseling and Psychological Services,687
1409,University of North Carolina School of Medicine/Department of Psychiatry,144
2001,University of North Dakota/University Counseling Center,160
2011,University of Northern Colorado Counseling Center/Counseling Center,42
1299,University of Notre Dame/University Counseling Center,235
1522,University of Oregon/Counseling and Testing Center,434
1827,University of Ottawa/Centre for Psychological Services and Research,72
1539,University of Pennsylvania/Counseling and Psychological Services,292
1542,University of Pittsburgh/Counseling Center,514
1751,"University of Puget Sound/Counseling, Health and Wellness Services",784
1491,University of Rochester/University Counseling Center,420
1490,University of Rochester School of Medicine and Dentistry/Department of  Psychiatry,848
1750,University of San Diego/Counseling Center,353
2196,University of San Francisco /Counseling and Psychological Services (CAPS),85
1553,"University of South Carolina/Student Health Services, Counseling & Psychiatry ",422
1226,University of South Florida/Counseling Center ,372
1136,University of Southern California/Student Counseling Services,301
1387,University of St. Thomas/Counseling and Psychological Services,37
1560,University of Tennessee Health Science Center/Department of Psychiatry,216
2152,University of Texas at Dallas /Student Counseling Center     ,487
1588,University of Texas Health Science Center at San Antonio/Department of Psychiatry - MSC 7792,505
2345,"University of Texas Health Science Center at Tyler/Psychiatry and Behavioral Medicine Division, Department of Medicine",1589
2294,"University of Texas Health Science Center, Houston/Psychiatry and Behavioral Sciences",913
1272,University of the Pacific/Counseling and Psychological Services  ,680
1598,University of Utah/University Counseling Center,469
1606,University of Virginia/Department of Student Health,6
1620,University of Washington Counseling Center/Student Life,241
1619,University of Washington School of Medicine/Dept of Psychiatry & Behavioral Sciences,222
2127,"University of Washington Tacoma /Office of Student Success, Student Counseling Center",266
1628,"University of Wisconsin/Departments of Psychiatry, Orthopedics & Rehabilitation Medicine",377
1629,University of Wisconsin - Madison Counseling & Mental Health Services/University Health Services,348
2313,University of Wisconsin- Whitewater/University Health & Counseling Services,1441
1137,USC School of Medicine/Childrens Hospital Los Angeles - USC/University Center for Excellence ,395
2283,UT Psychology Service Clinic/Universidad del Turabo Graduate Psychology Department,1381
1594,Utah State Hospital/Psychology Services,7
1592,Utah State University/Counseling and Psychological Services,168
1960,Utah Valley University/Student Health Services,248
1139,VA - Los Angeles Ambulatory Care Center/Psychology Service (116B),744
1359,VA Ann Arbor Healthcare System/Mental Health Service (116),721
1555,VA Black Hills Health Care System/Mental Health Service,666
1773,VA Caribbean Healthcare System/Psychology Service (116B),866
1248,VA Central Iowa Healthcare System/Psychology - Mental Health Service Line,141
1335,VA Central Western Massachusetts Health Care System/Mental Health Service Line,803
1186,VA Connecticut Healthcare System/Psychology Service (116B),386
1304,VA Eastern Kansas (Leavenworth/Topeka) Healthcare System/Behavioral Health Service (Psychiatric Facility),698
1463,"VA Hudson Valley Health Care System, Montrose Campus. /Mental Health Care Line 116B",830
1269,VA Illiana Health Care System/Mental Health Service,429
1129,VA Long Beach Healthcare System/Psychology,576
1357,VA Maine Healthcare System (formerly Togus VAMC)/Mental Health Service,539
1347,VA Maryland Health Care System/University of Maryland School of Medicine/VA Medical Center,597
1361,"VA Medical Center, Battle Creek/Psychology Service (116B)",836
1453,"VA Medical Center, Brooklyn Campus of the NY Harbor Healthcare System/Psychology Service (116B)",846
1193,"VA Medical Center, DC/Psychology  (116B)",745
1174,"VA Medical Center, Denver - Eastern Colorado Health Care System/Patient Focused Care (#116B)",638
1414,"VA Medical Center, Durham/Psychology Service",747
1634,"VA Medical Center, Milwaukee/Mental Health Divison (MH-ADMIN)",54
1614,"VA Medical Center, Salem/MHSL-Psychology  (116C)",732
1156,"VA Medical Center, San Francisco/Psychological Services ",809
1496,"VA Medical Center, Syracuse/Behavioral Health (116)",274
2300,"VA Montana, Fort Harrison Medical Center/Behavioral Health",1443
2217,VA Nebraska-Western Iowa Health Care System/Mental Health & Behavioral Science,873
1573,VA North Texas Health Care System/Psychology Service (116A),694
1141,VA Northern California Health Care System/Mental Health,307
1147,VA Palo Alto Health Care System/Psychology Service (116B),579
1543,VA Pittsburgh Healthcare System/Behavioral Health,45
1623,VA Puget Sound - American Lake/Psychology Service (A-116-B),794
1621,"VA Puget Sound, Seattle/Mental Health Service (116 )",710
1599,VA Salt Lake City Health Care System/Psychology,477
1125,"VA San Diego Healthcare System/University of California, San Diego/Psychology Internship Program (116B)",62
1163,VA Sepulveda Ambulatory Care Center/Psychology Service (116B),740
1439,VA Sierra Nevada Health Care System/Mental Health Service (116),230
2342,VA Southern Nevada Healthcare System/Behavioral Health Service,1576
1753,VA Southern Oregon Rehabilitation Center and Clinics (SORCC)/Psychology,1437
1399,VA St. Louis Internship/Psychology Internship,628
2213,VA Texas Valley Coastal Bend Health Care System Pre-Doctoral Internship Program/Psychology Service,606
1138,VA West Los Angeles Healthcare Center/Psychology Department (116B),432
1455,VA Western New York Healthcare System/Behavioral VA Careline (116B),453
2204,VAMC Chillicothe /116A2,264
1807,Vancouver Coastal Health Authority/Psychology Services,659
1566,Vanderbilt -VA  Internship Consortium/Vanderbilt-VA Internship Consortium,311
1741,Veterans Affairs Medical Center/Mental Health and Behavioral Sciences,149
1731,Veterans Affairs Medical Center Hampton Virginia/Mental Health & Behavioral Sciences (116A),665
1423,Veterans Affairs New Jersey Health Care System/Mental Health & Behavioral Sciences,560
1480,Veterans Affairs NY Harbor Health Care System-Manhattan Campus/Predoctoral Internship in Professional Psychology,134
2337,Veterans Healthcare System of the Ozarks/Mental Health,1647
1693,Virginia Beach City Public Schools/Psychological Services,58
1612,Virginia Commonwealth University/University Counseling Services,689
1604,Virginia Tech/Thomas E. Cook Counseling Center at Virginia Tech,218
1613,"Virginia Treatment Center for Children/Psychology Internship, Dept of Psychiatry",414
2235,Visiting Mental Health/Division of Internship and Training Programs,258
2024,Waianae Coast Comprehensive Health Center/Behavioral Health,511
2215,Walla Walla Spokane VAMC Joint Psychology Internship/Behavioral Health,890
1595,Wasatch Mental Health/Predoctoral Psychology Internship Program,401
2031,Washburn Center for Children/Outpatient,237
1618,Washington State University/Counseling and Psychological Services,138
1866,Waterloo Region Psychology Consortium (WRPC)/Lutherwood - Psychology,1514
2164,WellSpan Behavioral Health /WellSpan Behavioral Health,213
2170,West Palm Beach Veteran Affairs Medical Center/116 MH&BS,837
1640,West Virginia University/WELLWVU Carruth Center for Psychological & Psychiatric Services,835
1637,"West Virginia University Health Sciences Center, Charleston/Department of Behavioral Medicine and Psychiatry",568
1639,"West Virginia University School of Medicine, Morgantown/Department of Behavioral Medicine & Psychiatry",586
1460,"Westchester Jewish Community Services/	Psychology Department",820
2026,WestCoast Children's Clinic/Internship Training Program,580
2132,Western Carolina University /Counseling and Psychological Services (CAPS),319
1310,Western Kentucky Psychology Internship Consortium/Pennyroyal Mental Health Center,137
1544,Western Psychiatric Institute and Clinic/Psychology Internship Program,757
2084,Western Psychological and Counseling Services /Western Psychological & Counseling Services,355
1624,Western State Hospital/Psychology Department ,673
2117,Western Washington University /Counseling Center ,675
1997,Western Youth Services/Training Department,436
1308,Wichita Collaborative Psychology Internship Program/Consortium,64
1589,Wilford Hall Ambulatory Surgical Center/Department of Behavioral Medicine,402
1904,Will County Health Department/Behavioral Health Programs,851
2303,Wilmington VAMC/Wilmington VAMC Behavioral Health Services,1397
1635,Wisconsin Department of Corrections/Psychological Services,555
2174,WJB Dorn VAMC/Mental Health ,775
1746,Woodhull Medical Center/Psychological Services- Room 5A-12,244
1513,Wright State University/School of Professional Psychology,547
1514,Wright-Patterson USAF Medical Center/Mental Health Flight- SGOW,175
1184,Yale University/Child Study Center,503
1183,"Yale University School of Medicine/Psychology Section, Department of Psychiatry",639
1251,Youth Consultation Service/YCS Institute,195
1298,Youth Opportunity Center/Psychological Services Center,433
1428,"Youth Services Department, Palm Beach County (formerly Youth Affairs Division)/n/a",309
