"","display_id","site_name","primary_agency_type","address","web_url","apa_accred","number_of_slots","high_stipend","appi_intervention_hours","appi_assess_hours","chance_of_interview","chance_of_intership"
"1573",161,"CorrectCare, LLC/ South Florida State Hospital","State/County/Other Public Hospital","800 East Cypress Drive Pembroke Pines, Florida 33025","http://www.correctcarers.com >LOCATIONS> SOUTH FLORIDA STATE HOSPITAL>ACCREDITATION","Accredited",3,18180,400,75,0.39,0.1
"1585",287,"Correctional Service of Canada","Prison or Other Correctional Facility","CSC Regional headquarters (Ontario)Westlake Hall466 Union St West Kingston, Ontario K7L 4Y8","http://www.csc-scc.gc.ca/careers/003001-9000-eng.shtml","Not Accredited",2,47000,0,0,0.8,0.12
"1597",691,"Cypress-Fairbanks Independent School District","School District","CFISD Psychological Services22602 Northwest Fwy.Cy-Fair Annex Cypress, Texas 77429","http://www.cfisd.net/en/about/know-your-district/departments/psychological-services/","Accredited",8,23600,400,400,0.73,0.15
"1609",57,"Dallas Independent School District","School District","2909 N. Buckner Blvd., 5th floor Dallas, Texas 75228","http://www.dallasisd.org/Page/8224","Accredited",4,38000,400,0,0.35,0.11
"1621",221,"Danielsen Institute at Boston University","Other","185 Bay State Road Boston, Massachusetts 02215-1584","http://www.bu.edu/danielsen/","Accredited",2,23700,300,30,0.13,0.17
"1633",572,"Dayton VA Medical Center","Veterans Affairs Medical Center","4100 West Third Street Dayton, Ohio 45428","http://www.dayton.va.gov/DAYTON/careers/psychintern.asp","Accredited",4,24410,0,0,0.25,0.14
"1645",345,"Denver Health","State/County/Other Public Hospital","Psychology Internship Program777 Bannock StreetMail Code 3450Denver, Colorado 80204-4507","http://www.denverhealth.org/","Accredited",6,25292,600,60,0.16,0.19
"1657",79,"Devereux","Child/Adolescent Psychiatric or Pediatrics","444 Devereux DriveP.O. Box 638Villanova, Pennsylvania 19085","http://www.devereux.org","Accredited",7,24000,300,200,0.25,0.11
"1669",325,"Devereux Massachusetts","Child/Adolescent Psychiatric or Pediatrics","60 Miles Road Rutland, Massachusetts 01543","http://www.devereuxma.org","Not Accredited",3,25000,1000,200,0.44,0.25
"1681",226,"Didi Hirsch Mental Health Services","Community Mental Health Center","323 N. Prairie Avenue, Suite 325 Inglewood, California 90301","http://www.didihirsch.org/Doctoral-Psychology-Internship","Accredited",4,28000,500,0,0.24,0.08
"1693",623,"Donaldson Wellness Center","Private Outpatient Clinic","P.O. Box 2774508 Grace StWaxahachie, Texas 75168-8774","http://www.donaldsonwellnesscenter.com","Not Accredited",2,20000,200,300,0.7,0.07
"1705",1368,"Drexel Univeristy","University Counseling Center","Office of Counseling and Health 1505 Race Street, Bellet Building Suite 315 Philadelphia, Pennsylvania 19102","http://www.drexel.edu/healthservices/counseling-center/employment-training-opportunities/","Not Accredited",4,26000,450,0,0.54,0.09
"1717",67,"Duke University","University Counseling Center","Suite 214 Page Bldg., Box 90955402 Chapel DriveDurham, North Carolina 27708-0955","http://www.studentaffairs.duke.edu/caps/caps-training-programs","Accredited",3,31391,500,0,0.33,0.08
"1729",205,"Duke University Medical Center","Medical School","Psychology Internship Training Program2608 Erwin Rd., Ste 300Durham, North Carolina 27705","http://psychiatry.duke.edu/education/training-programs","Accredited",10,24500,500,0,0.31,0.14
"1741",176,"DuPage County Health Department","Community Mental Health Center","1111 E. Jackson Lombard, Illinois 60148-3709","http://www.dupagehealth.org","Not Accredited",4,17000,650,50,0.56,0.2
"1753",425,"Dwight David Eisenhower Army Medical Center","Armed Forces Medical Center","MCHF-BH-CPIP300 Hospital RoadAugusta (Ft. Gordon), Georgia 30905-5650","http://www.ddeamc.amedd.army.mil/GME/InterResPrograms/CPIP/","Accredited",6,64000,500,150,0,Inf
"1765",593,"Eastern Health","State/County/Other Public Hospital","100 Forest Road St. John's, Newfoundland A1A1E5","http://www.easternhealth.ca/Professionals.aspx?d=1&id=726&p=81","Not Accredited",5,30000,0,0,0.72,0.15
"1777",225,"Eastern Virginia Medical School","Medical School","825 Fairfax AvenueHofheimer HallNorfolk, Virginia 23507-1912","http://www.evms.edu/education/centers_institutes_departments/psychiatry_behavioral_sciences/clinical_psychology_internship_program/","Accredited",8,22170,500,100,0.27,0.17
"1789",1545,"Eating Recovery Center of San Antonio","Private General Hospital","250 E Basse Suite 206San Antonio, Texas 78209","http://www.ercsanantonio.com","Not Accredited",2,25000,0,0,0.5,0.33
"1801",1535,"Edison Court, Inc.","Private Outpatient Clinic","43 S Main Doylestown, Pennsylvania 18901","http://edisoncourt.com/","Not Accredited",2,28000,200,30,0.67,0.08
"1813",109,"Edith Nourse Rogers Memorial VA Medical Center","Veterans Affairs Medical Center","200 Springs Road Bedford, Massachusetts 01730-1198","http://www.psychologytraining.va.gov/bedford/","Accredited",7,26208,0,0,0.4,0.11
"1825",139,"Edmonton Consortium Clinical Psychology Residency","Consortium","Box 30717480 Fort Road NWEdmonton, Alberta T5J 2J7","http://www.albertahealthservices.ca/4310.asp","Not Accredited",6,32018,200,100,0.41,0.16
"1837",364,"Edward Hines, Jr. VA Hospital","Veterans Affairs Medical Center","5000 South FifthAvenueBuilding 228, Room 3021Hines, Illinois 60141-3030","http://www.hines.va.gov/about/psychresidency/Psychology_Internship.asp","Accredited",7,26342,400,100,0.31,0.13
"1849",1402,"El Paso Psychology Internship Consortium","Consortium","202 Union West500 West University AveEl Paso, Texas 79968","http://www.eppic.utep.edu","Accredited",4,24000,500,50,0.55,0.25
"1861",315,"Emory University  Counseling and Psychological Services","University Counseling Center","1462 Clifton RoadSuite 235Atlanta, Georgia 30322","http://studenthealth.emory.edu/cs/","Accredited",3,24000,500,0,0.33,0.09
"1873",210,"Emory University School of Medicine","Medical School","Grady Health System, Dept. of Psychiatry80 Jesse Hill Jr. DriveAtlanta, Georgia 30303","http://www.psychiatry.emory.edu","Accredited",8,26500,0,0,0.31,0.12
"1885",739,"Erie Psychological Consortium","Consortium","120 East Second StreetThird FloorErie, Pennsylvania 16507","http://www.eriepsychologicalconsortium.org/","Accredited",2,15000,0,0,0.29,0.17
"1897",416,"Family Service and Guidance Center, Inc.","Community Mental Health Center","327 SW Frazier Topeka, Kansas 66606","http://www.fsgctopeka.com","Accredited",3,24000,400,50,0.25,0.12
"1909",567,"Fargo VA Health Care System","Veterans Affairs Medical Center","2101 Elm St. N Fargo, North Dakota 58102","http://www.fargo.va.gov/careers/Psychology_Training.asp","Accredited",3,24014,250,50,0.54,0.09
"1921",440,"Faulk Center for Counseling (formerly Center for Group Counseling)","Community Mental Health Center","22455 Boca Rio Road Boca Raton, Florida 33433-4797","http://www.faulkcenterforcounseling.org","Accredited",4,20000,0,0,0.49,0.11
"1933",245,"Federal Bureau of Prisons","Prison or Other Correctional Facility","Federal Correctional Institution501 Capital Circle N.E.Tallahassee, Florida 32301-3572","http://www.bop.gov","Accredited",6,49520,700,100,0.34,0.2
"1945",801,"Federal Bureau of Prisons - FCC Terre Haute","Prison or Other Correctional Facility","4700 Bureau Road SouthTerre Haute , Indiana 47802","http://www.bop.gov/jobs/students/psychology.jsp","Not Accredited",4,48623,0,0,0.35,0.17
"1957",66,"Federal Correctional Complex - Butner, NC","Prison or Other Correctional Facility","c/o Federal Medical CenterOld NC Highway NC 75Butner, North Carolina 27509","http://www.bop.gov/jobs/psychology_intership.jsp","Accredited",7,51030,400,100,0.22,0.18
"1969",670,"Federal Correctional Complex - Petersburg, Virginia","Prison or Other Correctional Facility","P.O. Box 90026 Petersburg, Virginia 23804","http://www.bop.gov/","Accredited",4,50522,0,0,0.27,0.27
"1981",706,"Federal Correctional Institution","Prison or Other Correctional Facility","3150 Horton Road Fort Worth, Texas 76119-5996","http://www.bop.gov/jobs/students/psychology.jsp","Accredited",5,53560,200,100,0.28,0.17
"1993",424,"Federal Correctional Institution, Terminal Island","Prison or Other Correctional Facility","1299 Seaside Avenue San Pedro, California 90731-0207","http://www.bop.gov","Accredited",4,54380,500,0,0.17,0.18
"2005",148,"Federal Medical Center","Prison or Other Correctional Facility","P. O. Box 4600 Rochester, Minnesota 55903-4600","http://www.bop.gov/","Accredited",3,49520,100,100,0,Inf
"2017",16,"Federal Medical Center, Carswell","Prison or Other Correctional Facility","P.O. Box 27066 - ""J"" StreetBuilding 3000Fort Worth, Texas 76127","http://www.bop.gov/jobs/students/cpdipcrw2.pdf","Accredited",8,52868,375,75,0.29,0.14
"2029",187,"Federal Medical Center, Devens","Prison or Other Correctional Facility","Federal Bureau of PrisonsP.O. Box 88042 Patton Road Ayer, Massachusetts 01432","http://www.bop.gov/jobs/students/psychology.jsp","Accredited",3,55397,500,100,0.27,0.12
"2041",858,"Federal Medical Center, Lexington","Prison or Other Correctional Facility","3301 Leestown Road Lexington, Kentucky 40511-8799","http://www.bop.gov/jobs/students/psychology.jsp#description","Accredited",5,50016,0,0,0.2,0.21
"2053",903,"Florida Atlantic University","University Counseling Center","777 Glades Road, Bldg. 8, Rm. 229 Boca Raton, Florida 33431","http://www.fau.edu/counseling/","Not Accredited",2,27000,400,0,0.59,0.08
"2065",1434,"Florida Counseling and Evaluation Services","Community Mental Health Center","6950 Philips HighwaySuite 11Jacksonville, Florida 32216","http://www.flces.com","Not Accredited",2,18000,1000,200,0,0
"2077",754,"Florida Department of Corrections/ Office of Health Services","Prison or Other Correctional Facility","ZephyrhillsC.I. MHU 2739 Gall Blvd Zephyrhills, Florida 33541-9701","http://www.fldocjobs.com/psychology-training/index.html","Accredited",4,39000,500,350,0.32,0.22
"2089",912,"Florida Gulf Coast University CAPS","University Counseling Center","10501 FGCU Blvd. South Fort Myers, Florida 33965-6565","http://www.fgcu.edu/caps/DoctoralInternship.html","Not Accredited",3,28000,500,25,0.5,0.11
"2101",324,"Florida International University","University Counseling Center","Modesto A. Maidique Campus - UHSC 27011200 S.W. 8th St.Miami, Florida 33199","http://caps.fiu.edu","Accredited",4,27300,500,0,0.29,0.13
"2113",600,"Florida State Hospital","State/County/Other Public Hospital","P.O. Box 1000 Chattahoochee, Florida 32324-1000","http://www.dcf.state.fl.us/facilities/fsh","Accredited",3,21060,0,0,0.26,0.14
"2125",640,"Florida State University","Other","Florida State University715 West Gaines StreetTallahassee, Florida 32306-1603","http://mdc.fsu.edu","Accredited",6,18000,0,0,0.42,0.13
"2137",56,"Florida State University","University Counseling Center","Askew Student Life Center.942 Learning WaySuite 250 Tallahassee, Florida 32306-4175","http://counseling.fsu.edu","Accredited",4,26000,400,0,0.52,0.12
"2149",786,"Fort Worth Independent School District","School District","FWISD Psychological Services100 N. University Drive Suite NE90Fort Worth, Texas 76107-1360","http://www.fwisd.org/files/_sDDSU_/c19a74d059e2da283745a49013852ec4/Pre-Doc_Online_Booklet_2014.pdf","Accredited",3,33000,0,0,0.25,0.12
"2161",246,"Franciscan Children's","Private General Hospital","30 Warren Street Boston, Massachusetts 02135-3680","http://www.franciscanhospital.org","Accredited",3,20000,400,500,0.2,0.1
"2173",566,"Franciscan St. James Health","Private General Hospital","20201 S. Crawford Ave. Olympia Fields, Illinois 60461","","Not Accredited",2,21700,0,0,0.2,0.18
"2185",523,"Frontier Health Services","Community Mental Health Center","401 Holston Drive Greeneville, Tennessee 37743","http://www.frontierhealth.org","Not Accredited",4,22000,400,50,0.56,0.22
"2197",529,"Fulton State Hospital","State/County/Other Public Hospital","Jessica Sergio, Ph.D.Fulton State Hospital600 E. 5th Street, MS 400 Fulton, Missouri 65251","http://dmh.mo.gov/fulton/pip_home.html","Accredited",3,22000,400,100,0.49,0.08
"2209",556,"Geisel School of Medicine at Dartmouth","Medical School","Department of Psychiatry1 Medical Center DriveLebanon, New Hampshire 03756","http://dms.dartmouth.edu/psych/training/psychology_internship/","Accredited",4,22920,0,0,0.16,0.2
"2221",49,"Geisinger Medical Center","Private General Hospital","100 North Academy Avenue Danville, Pennsylvania 17822-1335","http://www.geisinger.edu/Residencies/psych/","Accredited",7,22365,0,0,0.41,0.12
"2233",75,"George Fox University","Consortium","414 N. Meridian St. #V104 Newberg, Oregon 97132","http://www.georgefox.edu/psyd/internship/index.html","Accredited",5,22000,300,0,0.65,0.24
"2245",655,"George Mason University","University Counseling Center","Student Union Building I, Room 31294400 University Drive, MS 2A2Fairfax, Virginia 22030","http://caps.gmu.edu","Accredited",0,0,350,0,0.64,0.14
"2257",925,"Georgia Regional Hospital - Atlanta","State/County/Other Public Hospital","3073 Panthersville Rd. Decatur, Georgia 30034","http://dbhdd.georgia.gov/georgia-regional-hospital-atlanta","Not Accredited",2,24123,0,0,0.32,0.12
"2269",476,"Georgia Southern University","University Counseling Center","P.O. Box 8011Forest DriveStatesboro, Georgia 30460-8011","http://studentsupport.georgiasouthern.edu/counseling/training/internship/","Not Accredited",2,28000,400,0,0.52,0.14
"2281",728,"Georgia State University","University Counseling Center","Georgia State University Counseling & TestingCenter75 Piedmont Ave NE, Suite 200AAtlanta, Georgia 30303","http://www.counselingcenter.gsu.edu","Accredited",3,24800,450,0,0.25,0.15
"2293",751,"Georgia Tech Counseling Center","University Counseling Center","353 Ferst Drive Atlanta, Georgia 30332-0286","http://www.counseling.gatech.edu","Accredited",3,23004,500,0,0.31,0.14
"2305",886,"Girard Medical Center","Private General Hospital","801 W. Girard Avenue, ADC #114Outpatient Psychiatry ClinicPhiladelphia, Pennsylvania 19122","http://www.gmc-psychology.com/","Not Accredited",5,23700,250,100,0.54,0.23
"2317",588,"Goodman Psychological Services Center","Private Outpatient Clinic","2173 N.W. 99th Ave. Miami, Florida 33172-2209","http://www.albizu.edu","Not Accredited",6,20000,0,0,0.79,0.27
"2329",251,"Goodwill Industries of Northern New England","Private Outpatient Clinic","618 Main Street Lewiston, Maine 04240","http://www.goodwillnne.org","Not Accredited",2,24000,0,0,0.74,0.08
"2341",574,"Grand Valley State University","University Counseling Center","204 Student Services BuildingGrand Valley State UniversityAllendale, Michigan 49401-9403","http://www.gvsu.edu/counsel","Accredited",4,25660,400,0,0.49,0.09
"2353",323,"Greater Hartford Clinical Psychology Internship Consortium (VA)","Consortium","555 Willard Avenue Newington, Connecticut 06111","http://www.connecticut.va.gov/careers/psychologytraining.asp","Accredited",5,26422,500,0,0.24,0.18
"2365",300,"Green Chimneys Children's Services","Child/Adolescent Psychiatric or Pediatrics","400 Doansburg Rd.Box 719Brewster, New York 10509","http://www.greenchimneys.org","Not Accredited",2,25000,0,0,0.67,0.08
"2377",128,"Greystone Park Psychiatric Hospital","State/County/Other Public Hospital","59 Koch Ave Morris Plains, New Jersey 07950","","Accredited",4,28381,1000,50,0.3,0.13
"2389",390,"Gulf Coast Veterans Health Care System","Veterans Affairs Medical Center","400 Veterans Avenue Biloxi, Mississippi 39531","http://www.biloxi.va.gov/services/Psychology/Overview.asp","Accredited",6,23974,0,0,0.43,0.21
"2401",145,"Hamilton Health Sciences","Academic Health Center","Box 2000 Station AL8N 3Z5 (mailing address)565 Sanatorium Road L9C 7N4 (courier address)Hamilton, Ontario L8N 3Z5","http://www.hamiltonhealthsciences.ca/body.cfm?id=640","Not Accredited",2,39868,150,150,0.47,0.14
"2413",1527,"Hamilton Health Sciences","Academic Health Center","P.O. Box 2000 Station AMcMaster Medical CentreHamilton, Ontario L8N 3Z5","http://hamiltonhealthsciences.ca/body.cfm?id=640","Not Accredited",2,39083,75,150,0.61,0.09
"2425",413,"Hamilton-Madison House Inc","Community Mental Health Center","253 South Street New York , New York 10002","http://www.hmhonline.org/","Accredited",3,20000,0,0,0.55,0.25
"2437",656,"Hamm Clinic","Community Mental Health Center","408 St. Peter Street,Suite 429St. Paul, Minnesota 55102-1119","http://www.hammclinic.org","Accredited",2,22500,350,50,0.16,0.14
"2449",662,"Harris County Juvenile Probation Department","Prison or Other Correctional Facility","1200Congress Houston, Texas 77002","http://www.hcjpd.org","Accredited",3,25000,250,100,0.42,0.12
"2461",406,"Harvard Medical School/Massachusetts General Hospital","Private General Hospital","Wang Ambulatory Care Center 81215 Parkman StreetBoston, Massachusetts 02114-2696","http://www.massgeneral.org/psychiatry/education/internship.aspx?id=62","Accredited",11,25000,0,0,0.25,0.14
"2473",38,"Harvard Medical School/McLean Hospital","Private Psychiatric Hospital","McLean Hospital115 Mill St.Belmont, Massachusetts 02478-9106","http://www.mclean.harvard.edu","Accredited",7,23660,500,100,0.37,0.12
"2485",164,"Harvard Medical School/The Children's Hospital","Child/Adolescent Psychiatric or Pediatrics","300 Longwood Avenue Boston, Massachusetts 02115-5737","http://www.childrenshospital.org","Accredited",7,28038,0,0,0.26,0.12
"2497",194,"Hawai`i School of Professional Psychology Internship Consortium at Argosy University","Consortium","1001 Bishop Street #400 Honolulu, Hawaii 96813","http://HSPPHawaii.com","Not Accredited",10,20000,0,0,0.89,0.62
"2509",1364,"Hawaii Psychology Internship Consortium","Consortium","42-470 Kalanianaole Hwy Kailua, Hawaii 96734","http://hi-pic.org/","Accredited",8,24000,0,0,0.63,0.17
"2521",76,"Hawthorn Center","Child/Adolescent Psychiatric or Pediatrics","18471 Haggerty Road Northville, Michigan 48168","http://michigan.gov/mdch/0,1607,7-132-2941_4868_4896-70281--,00.html","Accredited",4,28638,500,250,0.33,0.17
"2533",190,"Hazelden Mental Health Centers","Other","15251 Pleasant Valley RoadCO7Center City, Minnesota 55012","http://www.hazeldenbettyford.org","Accredited",6,27000,300,50,0.52,0.19
"2545",892,"Headway Emotional Health Services","Community Mental Health Center","6425 Nicollet Ave S Richfield , Minnesota 55423","http://www.headway.org","Not Accredited",2,24000,250,200,0.68,0.13
"2557",929,"Healtheast Care System","Private General Hospital","45 W. 10thSt./Suite G700 St. Paul, MN, Minnesota 55102","http://www.healtheast.org/","Accredited",2,25410,250,50,0.69,0.1
"2569",654,"HealthPoint","Other","Attention: Chris Schei955 Powell Ave SWRenton, Washington 98057-2908","http://healthpointchc.org","Not Accredited",6,23000,300,100,0.52,0.21
"2581",259,"Hefner VA Medical Center","Veterans Affairs Medical Center","1601 Brenner Avenue11M-2Salisbury, North Carolina 28144","http://www.salisbury.va.gov/services/Psychology.asp","Accredited",6,23974,500,0,0.31,0.14
"2593",695,"Hennepin County Medical Center  (HCMC)","State/County/Other Public Hospital","701 Park Avenue Adult Psychiatry Clinic - S1Minneapolis, Minnesota 55415-1829","http://hcmc.org","Accredited",4,25000,250,100,0.41,0.1
"2605",558,"Henry Ford Health Sciences Center","Academic Health Center","One Ford Place 1-C Detroit, Michigan 48202","http://www.henryford.com/body_program.cfm?id=38453","Accredited",8,23700,100,100,0.4,0.12
"2617",201,"Heritage Clinic, a division of the Center for Aging Resources","Community Mental Health Center","447 North El Molino Avenue Pasadena , California 91101","http://cfar1.org","Accredited",2,25000,1000,24,0.28,0.13
"2629",101,"Hoffman Estates Department of Health & Human Services","Community Mental Health Center","1900 Hassell Road Hoffman Estates, Illinois 60169","http://www.hoffmanestates.org/government/health-human-services/training-program","Not Accredited",2,17873,0,0,0.32,0.07
"2641",342,"Holcomb Behavioral Health Systems","Private Outpatient Clinic","467 Creamery Way Exton, Pennsylvania 19341","http://www.chimes.org/holcomb/professional-internships-externships.htm","Not Accredited",6,21000,500,50,0.87,0.2
"2653",620,"Holland Bloorview Kids Rehabilitation Hospital","State/County/Other Public Hospital","150 Kilgour Road Toronto, Ontario M4G 1R8","http://www.hollandbloorview.ca","Not Accredited",2,33189,150,150,0.47,0.12
"2665",758,"Hospital for Sick Children","Child/Adolescent Psychiatric or Pediatrics","555 University Avenue Toronto, Ontario M5G 1X8","http://www.sickkids.ca/psychology/education-and-learning/pre-doctoral-internship-program.html","Not Accredited",3,30500,300,300,0.4,0.15
"2677",238,"Houston Independent School District","Psychology Department","Psychological ServicesEast Field Office1102 Telephone Road Houston, Texas 77023","http://tinyurl.com/bse04sa","Accredited",5,25500,350,250,0.4,0.1
"2689",306,"Howard University","University Counseling Center","C.B. Powell Building, Wing 1, Rm. G-76th & Bryant Streets, NWWashington, District of Columbia 20059","http://www.howard.edu","Accredited",3,25000,600,0,0.5,0.08
"2701",435,"Huntington VA Medical Center","Veterans Affairs Medical Center","1540 Spring Valley Drive Huntington, West Virginia 25704","","Accredited",3,23974,350,150,0.36,0.1
"2713",509,"Hutchings Psychiatric Center","State/County/Other Public Hospital","Hutchings Psychiatric Center620 Madison StreetSyracuse, New York 13210-2319","https://www.omh.ny.gov/omhweb/facilities/hupc/pre-doctoral-internship.htm","Accredited",6,32000,400,75,0.39,0.16
"2725",400,"Icahn School of Medicine at Mount Sinai","Private General Hospital","One Gustave L. Levy Place, Box 1240 New York, New York 10029-6574","","Accredited",3,20000,500,0,0.29,0.17
"2737",545,"Illinois Psychological Association Consortium","Consortium","2835 N. SheffieldSte 404Chicago, Illinois 60657","http://IPAPIC.com","Not Accredited",5,18000,250,200,0.4,0
"2749",625,"Illinois School Psychology Internship Consortium","Consortium","Psychological Services CenterCampus Box 4625Normal, Illinois 61790","http://www.psychology.illinoisstate.edu/ispic","Accredited",20,20000,0,0,0.16,0.35
"2761",601,"Illinois State University","University Counseling Center","Campus Box 2420 Normal, Illinois 61790-2420","http://counseling.illinoisstate.edu/training/","Accredited",4,28980,400,10,0.43,0.13
"2773",697,"Indian Health Board of Minneapolis","Community Mental Health Center","1315 East 24th Street Minneapolis, Minnesota 55404","http://indianhealthboard.com","Accredited",2,22000,0,0,0.41,0.14
"2785",603,"Indiana University","University Counseling Center","600 North Jordan AvenueIU Health Center 4th FloorBloomington, Indiana 47405-3191","http://healthcenter.indiana.edu/counseling/internships/index.shtml","Accredited",3,24669,450,0,0.32,0.12
"2797",806,"Indiana University School of Medicine","Medical School","IU Health Neuroscience Center, Goodman Hall355 West 16th Street,Suite 2800Indianapolis, Indiana 46202-7176","http://psychiatry.medicine.iu.edu/education-residency-programs/psychology-internship-program1/","Accredited",6,20200,0,0,0.53,0.11
"2809",871,"Insight Behavioral Health Centers","Private Outpatient Clinic","333 N. Michigan Ave.Suite 1900Chicago, Illinois 60601-3994","https://www.eatingrecoverycenter.com/programs/insight/","Not Accredited",2,20000,400,0,0.25,0.12
"2821",344,"Institute for Child and Family Health, Inc.","Community Mental Health Center","9380 Sunset DriveSuite B 235Miami, Florida 33173","http://www.icfhinc.org","Accredited",7,18000,500,0,0.35,0.11
"2833",619,"Institute for Multicultural Counseling and Education Services","Community Mental Health Center","3580 Wilshire Blvd Suite 2000 Los Angeles, California 90010","http://www.IMCES.org","Accredited",10,24000,500,500,0.77,0.14
"2845",299,"Institute of Living/ Hartford Hospital","Private Psychiatric Hospital","200 Retreat Avenue Hartford, Connecticut 06106","http://www.instituteofliving.org","Accredited",7,26000,500,50,0.36,0.1
"2857",626,"Integrated Behavioral Health Consortium of Indiana","Consortium","1547 Ohio Avenue Anderson, Indiana 46016","http://mcchc.org","Not Accredited",7,23000,300,75,0.39,0.27
"2869",672,"Iowa City VA Health Care System","Veterans Affairs Medical Center","520 10th Avenue Coralville, Iowa 52241","http://www.iowacity.va.gov/careers/psychintern/index.asp","Accredited",3,23974,400,150,0.35,0.12
"2881",632,"Iowa State University","University Counseling Center","2223 Student Services Bldg., 3rd Floor Ames, Iowa 50011-2223","http://www.counseling.iastate.edu/professional-training/pre-doctoral-internship-program","Accredited",4,30000,400,0,0.4,0.11
"2893",359,"IUPUI","University Counseling Center","719 Indiana Ave Ste 220 Indianapolis, Indiana 46202","http://studentaffairs.iupui.edu/health-wellness/counseling-psychology/index.shtml","Not Accredited",2,24970,350,0,0.47,0.13
"2905",860,"IWK Health Centre","Child/Adolescent Psychiatric or Pediatrics","IWK Community Mental Health Bedford/Sackville40 Freer Lane, Cobequid Health CentreLower Sackville, Nova Scotia B4C 0A2","http://www.iwk.nshealth.ca ( under For Health Professionals)","Not Accredited",3,27500,0,0,0.58,0.14
"2917",197,"James A. Haley Veterans' Hospital","Veterans Affairs Medical Center","13000 Bruce B. Downs Blvd. Tampa, Florida 33612-4798","http://www.tampa.va.gov/Psychology_Training_Programs.asp","Accredited",8,24014,600,300,0.33,0.15
"2929",864,"James H. Quillen VA Medical Center","Veterans Affairs Medical Center","P.O. Box 4000 Mountain Home, Tennessee 37684-4000","http://www.mountainhome.va.gov/careers/PsychologyTraining.asp","Accredited",4,23974,500,75,0.47,0.11
"2941",188,"James Madison University","University Counseling Center","Counseling CenterStudent Success Center738 South Mason Street, MSC 0801 Harrisonburg, Virginia 22807","http://www.jmu.edu/counselingctr","Accredited",2,25500,400,0,0.22,0.11
"2953",688,"Jefferson Center for Mental Health","Community Mental Health Center","70 Executive Center4851 Independence Street, Suite 200Wheat Ridge, , Colorado 80033","http://www.jeffersonmentalhealth.org","Not Accredited",2,21000,500,50,0.45,0.09
"2965",59,"Jefferson County (KY) Internship Consortium","Consortium","914 E. Broadway, 2nd floor Louisville, Kentucky 40204","http://Sevencounties.org","Accredited",4,18500,500,75,0.44,0.11
"2977",652,"Jesse Brown VA Medical Center","Veterans Affairs Medical Center","820 S. Damen Ave.Attn: Director of Training, Psychology 116A1Chicago, Illinois 60612","http://www.chicago.va.gov/about/psychresidency/psychology.asp","Accredited",6,26271,0,0,0.24,0.08
"2989",44,"Jewish Child and Family Services (formerly Jewish Children's Bureau)","Community Mental Health Center","Elaine Kersten Children's Center255 Revere Dr. Suite 200Northbrook, Illinois 60062","http://www.jcfs.org","Accredited",2,20000,575,150,0.21,0.12
"3001",313,"Jewish Child Care Association","Other","1075 Broadway555 Bergen Ave. Bronx NYPleasantville, New York 10570","http://www.jccany.org","Accredited",6,25000,0,0,0.49,0.12
"3013",415,"John D. Dingell VA Medical Center","Veterans Affairs Medical Center","4646 John R Detroit, Michigan 48201-1932","http://www.detroit.va.gov/students/Psychology_Interns.asp","Accredited",6,26059,400,100,0.45,0.15
"3025",256,"John L. Gildner Regional Institute for Children and Adolescents (JLG-RICA)","Child/Adolescent Psychiatric or Pediatrics","15000 Broschart Road Rockville, Maryland 20850-3392","http://dhmh.maryland.gov/jlgrica/SitePages/Services.aspx","Accredited",3,28295,200,100,0.28,0.12
"3037",379,"Johns Hopkins University","University Counseling Center","3003 N. Charles StreetSuite S-200Baltimore, Maryland 21218-2690","http://web.jhu.edu/counselingcenter","Accredited",4,27684,500,0,0.22,0.15
"3049",1460,"Jordan School District","School District","Jordan School DistrictGuidance Programs7905 South Redwood Road West Jordan, Utah 84088","http://www.jordandistrict.org","Not Accredited",2,28200,0,0,0.67,0.5
"3061",254,"Kaiser Permanente Fresno Internship in Clinical Psychology","Other","4785 N. First StreetFresno , California 93726-0513","http://kp.org/psychtraining","Accredited",3,32300,500,50,0.2,0.11
"3073",290,"Kaiser Permanente Medical Care Program","Private Outpatient Clinic","4700 Sunset Boulevard, 6th floor Los Angeles, California 90027-6082","http://psychologyinternships.kp.org","Accredited",4,27000,400,50,0.21,0.11
"3085",722,"Kaiser Permanente Medical Care Program, San Diego","Other","1630 East Main Street El Cajon, California 92021","http://psychologyinternships.kp.org","Accredited",4,27000,500,75,0.25,0.11
"3097",714,"Kane County Diagnostic Center","Prison or Other Correctional Facility","757 E. Fabyan Parkway Batavia, Illinois 60510","","Not Accredited",3,17416,250,250,0.47,0.09
"3109",811,"Kansas State University","University Counseling Center","232 English/ Counseling Services Building Manhattan, Kansas 66506-6503","http://www.k-state.edu/counseling/training/internship.html","Accredited",4,25650,500,0,0.44,0.1
"3121",1474,"Keene State College","University Counseling Center","229 Main Street Keene, New Hampshire 03435-2803","http://www.keene.edu/counseling/","Not Accredited",2,24000,0,0,0.25,0.29
"3133",774,"Kennedy Krieger Institute","Medical School","720 Aliceanna St., 2nd Flr. Baltimore, Maryland 21202","http://www.kennedykrieger.org/professional-training/training-disciplines/behavioral-psychology/pre-doctoral-training","Accredited",36,25000,0,0,0.5,0.2
"3145",643,"Kentucky River Community Care Inc","Community Mental Health Center","115 Rockwood Lane Hazard, Kentucky 41701","http://www.krcccares.com","Not Accredited",3,23660,400,0,0.55,0.17
